"","State","Name","Saffir_Simpson_Category","Date_Closest","Year_Closest","Date_Formed","Date_Extratropical","Date_Dissipated","Fatalities","Damage","URL_Searched","Damage_Estimate","Fatalities_Estimate","Detail_QA"
"553","Puerto Rico","David","1",1979-08-31,"1979",1979-08-25,1979-09-06,1979-09-08,"2078","$1.54 billion ","https://en.wikipedia.org/wiki/Hurricane_David_(1979)",1540000000,2078,"Yes"
"554","Puerto Rico","Hugo","3",1989-09-18,"1989",NA,NA,NA,NA,NA,"https://en.wikipedia.org/wiki/Hurricane_Hugo_(1989)",NA,NA,"No"
"555","Puerto Rico","Hortense","1",1996-09-10,"1996",1996-09-03,1996-09-15,1996-09-16,"39 direct","$158 million ","https://en.wikipedia.org/wiki/Hurricane_Hortense_(1996)",158000000,39,"Yes"
"556","Puerto Rico","Georges","3",1998-09-21,"1998",1998-09-15,NA,1998-10-01,"604","$9.37 billion ","https://en.wikipedia.org/wiki/Hurricane_Georges_(1998)",9370000000,604,"Yes"
"557","Puerto Rico","Irene","1",2011-08-22,"2011",2011-08-21,2011-08-28,2011-08-30,"58 total","$14.2 billion ","https://en.wikipedia.org/wiki/Hurricane_Irene_(2011)",14200000000,58,"Yes"
"558","Puerto Rico","Maria","4",2017-09-20,"2017",2017-09-16,2017-09-30,2017-10-02,"3059 total (direct and indirect)","$91.6 billion ","https://en.wikipedia.org/wiki/Hurricane_Maria_(2017)",91600000000,3059,"Yes"
"559","Puerto Rico","Fiona","1",2022-09-18,"2022",2022-09-14,2022-09-23,2022-09-27,"29","≥$3.09 billion ","https://en.wikipedia.org/wiki/Hurricane_Fiona_(2022)",3090000000,29,"Yes"
"560","United States Virgin Islands","Unnamed","2",1924-08-29,"1924",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"561","United States Virgin Islands","""San Felipe II""","4",1928-09-13,"1928",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"562","United States Virgin Islands","""San Nicolás""","1",1931-09-10,"1931",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"563","United States Virgin Islands","""San Ciprian""","2",1932-09-26,"1932",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"564","United States Virgin Islands","Unnamed","1",1933-07-26,"1933",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"565","United States Virgin Islands","Hugo","4",1989-09-18,"1989",NA,NA,NA,NA,NA,"https://en.wikipedia.org/wiki/Hurricane_Hugo_(1989)",NA,NA,"No"
"566","United States Virgin Islands","Marilyn","2",1995-09-16,"1995",1995-09-12,1995-09-22,1995-09-30,"13 total","$2.5 billion ","https://en.wikipedia.org/wiki/Hurricane_Marilyn_(1995)",2500000000,13,"Yes"
"567","United States Virgin Islands","Bertha","1",1996-07-08,"1996",1996-07-05,1996-07-14,1996-07-18,"12","$335 million ","https://en.wikipedia.org/wiki/Hurricane_Bertha_(1996)",335000000,12,"Yes"
"568","United States Virgin Islands","Georges","1",1998-09-21,"1998",1998-09-15,NA,1998-10-01,"604","$9.37 billion ","https://en.wikipedia.org/wiki/Hurricane_Georges_(1998)",9370000000,604,"Yes"
"569","United States Virgin Islands","Lenny","1",1999-11-17,"1999",1999-11-13,NA,1999-11-23,"17 direct","$786 million ","https://en.wikipedia.org/wiki/Hurricane_Lenny_(1999)",786000000,17,"Yes"
"570","United States Virgin Islands","Omar","1",2008-10-16,"2008",2008-10-13,2008-10-18,2008-10-21,"1 indirect","$80 million ","https://en.wikipedia.org/wiki/Hurricane_Omar_(2008)",80000000,1,"Yes"
"571","United States Virgin Islands","Irma","3",2017-09-06,"2017",2017-08-30,NA,2017-09-13,"134 total","$77.2 billion ","https://en.wikipedia.org/wiki/Hurricane_Irma_(2017)",77200000000,134,"Yes"
"572","United States Virgin Islands","Maria","3",2017-09-20,"2017",2017-09-16,2017-09-30,2017-10-02,"3059 total (direct and indirect)","$91.6 billion ","https://en.wikipedia.org/wiki/Hurricane_Maria_(2017)",91600000000,3059,"Yes"
"573","United States Virgin Islands","Dorian","1",2019-08-28,"2019",2019-08-24,2019-09-07,2019-09-10,"84 total","≥$5.1 billion ","https://en.wikipedia.org/wiki/Hurricane_Dorian_(2019)",5100000000,84,"Yes"
